STA,LAT,LON,ELEV,CHN,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG,MS,8.2
CHO,35.725,140.8433,27,???,46.69,65.2,S,S,15-01-1934,08:58:49,6.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MIZ,39.1343,141.136,63,???,46.72,60.5,P,P,15-01-1934,08:51:50,-4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MIZ,39.1343,141.136,63,???,46.72,60.5,S,S,15-01-1934,08:58:43,-0.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MRK,39.6967,141.1667,154,???,46.72,59.7,P,P,15-01-1934,08:51:55,0.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MRK,39.6967,141.1667,154,???,46.72,59.7,S,S,15-01-1934,08:58:52,8.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SAP,43.0583,141.332,17,???,46.85,55.1,P,P,15-01-1934,08:51:52,-3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SAP,43.0583,141.332,17,???,46.85,55.1,S,S,15-01-1934,08:58:37,-8.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
ASA,43.77,142.373,112,???,47.63,54.2,S,S,15-01-1934,08:59:05,8.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
URA,42.1583,142.7817,30,???,47.91,56.4,P,P,15-01-1934,08:52:01,-2.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
URA,42.1583,142.7817,30,???,47.91,56.4,S,S,15-01-1934,08:59:01,0.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KUS,42.975,144.3917,33,???,49.1,55.3,P,P,15-01-1934,08:52:09,-3.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KUS,42.975,144.3917,33,???,49.1,55.3,S,S,15-01-1934,08:59:13,-3.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TTZ,27.0833,142.183,0,???,49.18,76.4,S,S,15-01-1934,08:59:12,-6.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
PUL,59.7728,30.3222,88.5,???,50.29,326.8,P,P,15-01-1934,08:52:19,-2.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
PUL,59.7728,30.3222,88.5,???,50.29,326.8,S,S,15-01-1934,08:59:25,-8.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
AMO,-3.7,128.167,0,???,50.36,120.7,P,P,15-01-1934,08:52:22,-0.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
AMO,-3.7,128.167,0,???,50.36,120.7,S,S,15-01-1934,08:59:35,-0.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
LVV,49.819,24.031,320,???,52.46,313.5,S,S,15-01-1934,09:00:09,5.6,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HEL,60.1756,24.957,20,???,53.01,326.6,P,P,15-01-1934,08:52:44,2.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HEL,60.1756,24.957,20,???,53.01,326.6,S,S,15-01-1934,09:00:07,-3.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
BEO,44.8093,20.4714,129,???,55.02,307.4,P,P,15-01-1934,08:52:56,-0.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
BEO,44.8093,20.4714,129,???,55.02,307.4,S,S,15-01-1934,09:00:38,-0.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
UPP,59.8576,17.6229,14,???,56.62,325.7,S,S,15-01-1934,09:00:54,-5.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
UPP,59.8576,17.6229,14,???,56.62,325.7,P,P,15-01-1934,08:53:06,-1.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
