STA,LAT,LON,ELEV,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG
HAC,40.525,141.527,28,38.72,59.6,P,P,15-08-1950,14:16:53,-5.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
HAC,40.525,141.527,28,38.72,59.6,PP,PP,15-08-1950,14:18:17,-9.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SAP,43.0583,141.332,17,38.82,55.6,P,P,15-08-1950,14:16:54,-4.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SAP,43.0583,141.332,17,38.82,55.6,S,S,15-08-1950,14:23:01,5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MIY,39.645,141.968,46,39.01,61.1,P,P,15-08-1950,14:16:56,-4.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MIY,39.645,141.968,46,39.01,61.1,S,S,15-08-1950,14:22:55,-4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
BAK,40.372,49.818,83,39.89,300,P,P,15-08-1950,14:17:09,1.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NEM,43.3283,145.59,26,41.94,55.7,P,P,15-08-1950,14:17:20,-4.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
GRO,43.32,45.75,123,43.07,304.2,P,P,15-08-1950,14:17:36,2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
TIF,41.7167,44.8,399,43.72,301.8,P,P,15-08-1950,14:17:40,0.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
TIF,41.7167,44.8,399,43.72,301.8,S,S,15-08-1950,14:24:09,0,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
LEN,40.7667,43.85,1522,44.44,300.5,P,P,15-08-1950,14:17:47,1.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
BOR,41.8333,43.3833,794,44.78,302,P,P,15-08-1950,14:17:49,1.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
BOR,41.8333,43.3833,794,44.78,302,S,S,15-08-1950,14:24:31,6.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
PYA,44.0333,43.0583,544,45.05,305.1,P,P,15-08-1950,14:17:49,-0.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
PYA,44.0333,43.0583,544,45.05,305.1,S,S,15-08-1950,14:24:28,-0.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
ABS,41.7555,42.8134,1590,45.21,301.9,P,P,15-08-1950,14:17:47,-4.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
ZUG,42.5167,41.8833,110,45.89,303,P,P,15-08-1950,14:18:00,3.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SOC,43.5833,39.7167,192,47.47,304.5,P,P,15-08-1950,14:18:06,-2.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SOC,43.5833,39.7167,192,47.47,304.5,S,S,15-08-1950,14:25:02,-0.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MOS,55.7383,37.625,121,49.62,320.6,P,P,15-08-1950,14:18:26,0.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MOS,55.7383,37.625,121,49.62,320.6,S,S,15-08-1950,14:25:32,-1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
FEO,45.019,35.39,40,50.53,306.5,P,P,15-08-1950,14:18:33,0.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
FEO,45.019,35.39,40,50.53,306.5,S,S,15-08-1950,14:25:50,4.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SIM,44.949,34.116,275,51.44,306.5,P,P,15-08-1950,14:18:40,0.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SIM,44.949,34.116,275,51.44,306.5,S,S,15-08-1950,14:25:56,-2.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
YAL,44.4875,34.1547,23,51.44,305.9,P,P,15-08-1950,14:18:38,-1.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
YAL,44.4875,34.1547,23,51.44,305.9,S,S,15-08-1950,14:26:01,2.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KSA,33.8233,35.89,920,51.5,292.1,P,P,15-08-1950,14:18:39,-0.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KSA,33.8233,35.89,920,51.5,292.1,S,S,15-08-1950,14:26:01,1.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
PUL,59.7728,30.3222,88.5,53.98,325.1,P,P,15-08-1950,14:18:58,0.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
PUL,59.7728,30.3222,88.5,53.98,325.1,S,S,15-08-1950,14:26:34,1.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KIS,46.998,28.818,185,54.96,309.4,P,P,15-08-1950,14:19:02,-3.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KIS,46.998,28.818,185,54.96,309.4,S,S,15-08-1950,14:26:44,-2.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
ISK,41.0656,29.0592,132,55.56,302.2,P,P,15-08-1950,14:19:09,-0.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
ISK,41.0656,29.0592,132,55.56,302.2,S,S,15-08-1950,14:26:55,0.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
HLW,29.8583,31.3417,135,56.19,288.5,P,P,15-08-1950,14:19:13,-1.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
HEL,60.1756,24.957,20,56.69,325.4,P,P,15-08-1950,14:19:16,-1.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
HEL,60.1756,24.957,20,56.69,325.4,S,S,15-08-1950,14:27:09,0.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
CRB,48.3,25.9333,0,56.76,311.2,P,P,15-08-1950,14:19:18,0.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
CRB,48.3,25.9333,0,56.76,311.2,S,S,15-08-1950,14:27:13,2.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
BUC,44.4136,26.0967,82,57.18,306.6,P,P,15-08-1950,14:19:21,0,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
BUC,44.4136,26.0967,82,57.18,306.6,S,S,15-08-1950,14:27:18,2.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
LVV,49.819,24.031,320,57.82,313.2,P,P,15-08-1950,14:19:24,-1.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
LVV,49.819,24.031,320,57.82,313.2,PcP,PcP,15-08-1950,14:20:11,-6.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
LVV,49.819,24.031,320,57.82,313.2,S,S,15-08-1950,14:27:22,-2.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
WAR,52.2417,21.0236,110,59.4,316.3,P,P,15-08-1950,14:19:38,1.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
WAR,52.2417,21.0236,110,59.4,316.3,PP,PP,15-08-1950,14:21:44,-3.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
